186.193.243.91 - - "2020-11-12 00:00:29" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/587 200 "Mozilla/5.0 (Linux; Android 9; SM-A205G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.185 Mobile Safari/537.36"
177.36.170.228 - - "2020-11-12 00:01:25" http://proceeding.ciki.ufsc.br/index.php/ciki/article/download/179/192/1026 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
66.249.64.208 bot - "2020-11-12 00:04:50" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/784 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
185.191.171.6 bot - "2020-11-12 00:04:52" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/305 200 "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
114.119.157.234 bot - "2020-11-12 00:05:30" http://proceeding.ciki.ufsc.br/index.php/ciki/index 200 "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)"
177.124.51.209 - - "2020-11-12 00:05:38" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/716 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36"
201.10.164.174 - - "2020-11-12 00:06:47" http://proceeding.ciki.ufsc.br/index.php/ciki/article/download/234/93/905 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36"
179.174.13.8 - - "2020-11-12 00:08:02" http://proceeding.ciki.ufsc.br/index.php/ciki/article/download/426/270/1792 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36"
179.174.13.8 - - "2020-11-12 00:08:29" http://proceeding.ciki.ufsc.br/index.php/ciki/article/download/426/270/1792 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36"
185.191.171.35 bot - "2020-11-12 00:16:12" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/694 200 "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
157.55.39.9 bot - "2020-11-12 00:16:31" http://proceeding.ciki.ufsc.br/index.php/ciki/issue/view/14 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
177.157.123.76 - - "2020-11-12 00:18:11" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/315 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36"
177.157.123.76 - - "2020-11-12 00:24:31" http://proceeding.ciki.ufsc.br/index.php/ciki/article/download/315/154/968 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36"
187.35.237.238 - - "2020-11-12 00:33:07" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/778 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
207.46.13.2 bot - "2020-11-12 00:35:04" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/661 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
185.191.171.18 bot - "2020-11-12 00:40:22" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/465 200 "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
157.55.39.9 bot - "2020-11-12 00:40:29" http://proceeding.ciki.ufsc.br/index.php/ciki/article/download/803/459/2577 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
181.223.232.125 - - "2020-11-12 00:46:09" http://proceeding.ciki.ufsc.br/index.php/ciki/article/download/797/373/2378 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36"
66.249.64.212 bot - "2020-11-12 00:55:08" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/140 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
186.208.228.24 - - "2020-11-12 00:57:08" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/140 200 "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Gecko/20100101 Firefox/77.0"
191.189.11.104 - - "2020-11-12 01:04:41" http://proceeding.ciki.ufsc.br/index.php/ciki/article/view/476 200 "Mozilla/5.0 (Linux; Android 10; moto g(7) play) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.185 Mobile Safari/537.36"
